epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8577,2.62269,8.51784,1.63618,0,0,0,0,nan,nan,nan,0.00048,0.00048,0.00048
2,48.8237,1.60599,2.32912,1.125,0,0,0,0,nan,nan,nan,0.000973532,0.000973532,0.000973532
3,71.6005,1.56012,1.96147,1.10795,0,0,0,0,nan,nan,nan,0.00146046,0.00146046,0.00146046
4,94.4444,1.52661,1.92262,1.09265,0,0,0,0,0,0,0,0.0019408,0.0019408,0.0019408
5,117.39,1.51422,1.95836,1.0869,0.24383,0.0557,0.03372,0.01229,2.13765,3.81148,1.23099,0.0019472,0.0019472,0.0019472
6,140.269,1.50621,1.97877,1.08164,0.00206,0.01061,0.00608,0.00171,nan,nan,nan,0.001934,0.001934,0.001934
7,163.321,1.48284,1.83916,1.08223,0.00258,0.18833,0.00157,0.00097,nan,nan,nan,0.0019208,0.0019208,0.0019208
8,186.109,1.48961,1.81914,1.07702,0.25622,0.11141,0.08397,0.04769,1.63445,3.57349,1.11582,0.0019076,0.0019076,0.0019076
9,209.286,1.46746,1.77474,1.06587,0.29559,0.22016,0.13413,0.06893,1.66131,2.81879,1.13185,0.0018944,0.0018944,0.0018944
10,232.338,1.45237,1.68782,1.0595,0.40323,0.35809,0.28806,0.15961,1.55192,2.31808,1.08372,0.0018812,0.0018812,0.0018812
11,255.403,1.45177,1.71867,1.05757,0.6655,0.16711,0.27704,0.13934,1.62609,2.98101,1.10159,0.001868,0.001868,0.001868
12,278.23,1.42748,1.68254,1.04911,0.49965,0.41114,0.38652,0.2052,1.49405,2.07018,1.08219,0.0018548,0.0018548,0.0018548
13,301.307,1.43286,1.61882,1.05075,0.43035,0.38727,0.31429,0.16837,1.50601,2.07149,1.06921,0.0018416,0.0018416,0.0018416
14,324.2,1.41676,1.59793,1.03809,0.52551,0.42971,0.39684,0.21721,1.51195,2.14229,1.0685,0.0018284,0.0018284,0.0018284
15,347.291,1.41437,1.49152,1.04181,0.50555,0.45093,0.39117,0.20504,1.52344,1.98965,1.07984,0.0018152,0.0018152,0.0018152
16,370.169,1.39773,1.58709,1.03955,0.52789,0.44786,0.43216,0.2364,1.48429,2.03185,1.06144,0.001802,0.001802,0.001802
17,393.222,1.40022,1.52455,1.03891,0.59414,0.2626,0.34017,0.19029,1.46082,2.38839,1.04155,0.0017888,0.0017888,0.0017888
18,416.111,1.39471,1.51458,1.03874,0.55877,0.44828,0.46896,0.25167,1.48891,1.78297,1.0687,0.0017756,0.0017756,0.0017756
19,439.189,1.38742,1.55992,1.03894,0.60502,0.39257,0.40558,0.22164,1.47854,2.15496,1.05865,0.0017624,0.0017624,0.0017624
20,462.019,1.37849,1.41865,1.03378,0.55188,0.43447,0.4312,0.23747,1.48952,1.83156,1.0559,0.0017492,0.0017492,0.0017492
21,484.915,1.3747,1.49073,1.02863,0.54793,0.37937,0.3601,0.19566,1.59578,1.95315,1.10427,0.001736,0.001736,0.001736
22,507.677,1.36899,1.43824,1.02654,0.48953,0.2626,0.24186,0.12555,1.5161,2.5008,1.07137,0.0017228,0.0017228,0.0017228
23,530.521,1.3506,1.38063,1.02431,0.55073,0.51989,0.49661,0.26929,1.51539,1.6993,1.06243,0.0017096,0.0017096,0.0017096
24,553.415,1.36221,1.3863,1.02592,0.46125,0.42922,0.40632,0.20849,1.51819,1.91197,1.06684,0.0016964,0.0016964,0.0016964
25,576.489,1.37453,1.45985,1.03305,0.54318,0.38992,0.38218,0.18432,1.54376,2.55568,1.08536,0.0016832,0.0016832,0.0016832
26,599.417,1.34415,1.40057,1.01747,0.51495,0.54377,0.48143,0.24907,1.52826,1.75726,1.07577,0.00167,0.00167,0.00167
27,622.333,1.33804,1.36163,1.02184,0.53127,0.51109,0.47753,0.26242,1.50305,1.62264,1.06014,0.0016568,0.0016568,0.0016568
28,645.147,1.3148,1.29054,1.01016,0.57586,0.41114,0.42434,0.2297,1.50158,1.70293,1.06641,0.0016436,0.0016436,0.0016436
29,668.018,1.31251,1.31603,1.01563,0.57199,0.49628,0.49345,0.26142,1.50477,1.65142,1.0675,0.0016304,0.0016304,0.0016304
30,690.753,1.27658,1.2628,0.99801,0.57543,0.41645,0.44828,0.24266,1.52821,2.08008,1.06815,0.0016172,0.0016172,0.0016172
31,713.623,1.28972,1.22524,1.00327,0.48309,0.49602,0.42057,0.22396,1.50885,1.68528,1.06308,0.001604,0.001604,0.001604
32,736.47,1.2729,1.21507,1.00094,0.60317,0.48011,0.52237,0.27753,1.55443,1.59507,1.07738,0.0015908,0.0015908,0.0015908
33,759.541,1.27281,1.16226,1.00261,0.60239,0.54654,0.55655,0.29229,1.51357,1.54144,1.06993,0.0015776,0.0015776,0.0015776
34,782.543,1.2597,1.1552,0.99344,0.58034,0.57956,0.5434,0.2982,1.50274,1.53697,1.06522,0.0015644,0.0015644,0.0015644
35,805.563,1.25621,1.18341,0.99546,0.61102,0.55703,0.54313,0.29392,1.50901,1.50269,1.066,0.0015512,0.0015512,0.0015512
36,828.459,1.25874,1.07845,0.9991,0.57268,0.54642,0.51679,0.27806,1.5533,1.56896,1.08385,0.001538,0.001538,0.001538
37,851.343,1.2278,1.09095,0.99227,0.64961,0.4748,0.50267,0.26699,1.56808,1.83857,1.08928,0.0015248,0.0015248,0.0015248
38,874.206,1.18974,1.04421,0.97751,0.57483,0.54511,0.47597,0.24955,1.56823,1.70238,1.09076,0.0015116,0.0015116,0.0015116
39,897.142,1.21297,1.02556,0.98516,0.64753,0.60212,0.56671,0.29885,1.53909,1.55659,1.08278,0.0014984,0.0014984,0.0014984
40,920.105,1.19454,0.9956,0.97808,0.61463,0.56689,0.56155,0.30667,1.51651,1.46398,1.07956,0.0014852,0.0014852,0.0014852
41,943.188,1.18179,0.97698,0.97089,0.59186,0.54237,0.52392,0.2824,1.54617,1.67641,1.06787,0.001472,0.001472,0.001472
42,966.057,1.16451,0.95535,0.96512,0.61153,0.48011,0.50421,0.28468,1.51224,1.94651,1.06024,0.0014588,0.0014588,0.0014588
43,988.985,1.13981,1.00289,0.96505,0.59119,0.56499,0.56486,0.31251,1.50471,1.47157,1.0896,0.0014456,0.0014456,0.0014456
44,1012.01,1.11674,0.9412,0.95712,0.66067,0.48806,0.5431,0.2858,1.58087,1.82346,1.1052,0.0014324,0.0014324,0.0014324
45,1034.88,1.11429,0.92781,0.954,0.63971,0.51459,0.54308,0.28439,1.54791,1.48194,1.0973,0.0014192,0.0014192,0.0014192
46,1057.68,1.09586,0.88198,0.95308,0.67726,0.48806,0.54611,0.30298,1.54758,1.83394,1.07528,0.001406,0.001406,0.001406
47,1080.57,1.07686,0.87483,0.94652,0.52613,0.46419,0.43223,0.23282,1.54439,1.8187,1.0812,0.0013928,0.0013928,0.0013928
48,1103.4,1.07851,0.89056,0.94241,0.61973,0.58355,0.58483,0.32315,1.56076,1.53364,1.08525,0.0013796,0.0013796,0.0013796
49,1126.45,1.06436,0.85694,0.94122,0.66739,0.5252,0.5864,0.32946,1.53495,1.57705,1.0789,0.0013664,0.0013664,0.0013664
50,1149.43,1.06412,0.82235,0.93994,0.70367,0.5305,0.6079,0.35292,1.49228,1.42431,1.07203,0.0013532,0.0013532,0.0013532
51,1172.49,1.02843,0.80172,0.92868,0.7173,0.50398,0.56445,0.30822,1.50943,1.56464,1.07002,0.00134,0.00134,0.00134
52,1195.33,1.02747,0.78298,0.93078,0.71922,0.46881,0.54334,0.30221,1.56622,1.83097,1.10588,0.0013268,0.0013268,0.0013268
53,1218.37,1.01687,0.803,0.92219,0.67705,0.50398,0.50606,0.27095,1.5636,1.86504,1.09268,0.0013136,0.0013136,0.0013136
54,1241.23,1.04529,0.80837,0.93961,0.70174,0.55968,0.59721,0.33485,1.53745,1.41111,1.08842,0.0013004,0.0013004,0.0013004
55,1264.12,0.98023,0.75228,0.91971,0.69652,0.55968,0.60263,0.32981,1.54176,1.52218,1.09896,0.0012872,0.0012872,0.0012872
56,1286.91,0.99422,0.7457,0.91847,0.71886,0.59682,0.62957,0.35075,1.53522,1.42709,1.09576,0.001274,0.001274,0.001274
57,1309.89,0.95707,0.71314,0.90963,0.6884,0.56499,0.61278,0.346,1.52942,1.39214,1.0945,0.0012608,0.0012608,0.0012608
58,1332.67,0.95204,0.70398,0.91617,0.64221,0.59947,0.5866,0.31881,1.5167,1.41221,1.08671,0.0012476,0.0012476,0.0012476
59,1355.57,0.95614,0.69623,0.91221,0.68612,0.59151,0.58714,0.3269,1.5224,1.40872,1.10135,0.0012344,0.0012344,0.0012344
60,1378.41,0.90895,0.66361,0.89811,0.68913,0.53846,0.55265,0.31364,1.51092,1.56256,1.08661,0.0012212,0.0012212,0.0012212
61,1401.29,0.9505,0.69302,0.91533,0.72195,0.53581,0.58178,0.33562,1.47731,1.50349,1.06805,0.001208,0.001208,0.001208
62,1424.11,0.95658,0.67383,0.90778,0.68352,0.56499,0.60476,0.33594,1.51426,1.52507,1.09606,0.0011948,0.0011948,0.0011948
63,1446.99,0.93144,0.64123,0.90997,0.71445,0.54377,0.56855,0.32218,1.51517,1.56709,1.08378,0.0011816,0.0011816,0.0011816
64,1469.78,0.91052,0.63634,0.90104,0.74956,0.57294,0.63347,0.36118,1.51044,1.43487,1.08833,0.0011684,0.0011684,0.0011684
65,1492.84,0.9061,0.63438,0.90064,0.67482,0.4748,0.52798,0.3067,1.50844,1.8522,1.08043,0.0011552,0.0011552,0.0011552
66,1515.62,0.87271,0.63978,0.89264,0.69083,0.56306,0.5964,0.34688,1.50218,1.52707,1.08247,0.001142,0.001142,0.001142
67,1538.52,0.89917,0.61762,0.89482,0.71458,0.57113,0.59925,0.35323,1.5111,1.51576,1.09302,0.0011288,0.0011288,0.0011288
68,1561.37,0.86837,0.59436,0.88914,0.76803,0.51724,0.5644,0.33009,1.50402,1.52044,1.09747,0.0011156,0.0011156,0.0011156
69,1584.24,0.8795,0.62569,0.88972,0.69117,0.55968,0.59235,0.33243,1.53288,1.54718,1.09749,0.0011024,0.0011024,0.0011024
70,1607.07,0.86582,0.58991,0.88928,0.67561,0.58621,0.6019,0.33376,1.49522,1.42543,1.08518,0.0010892,0.0010892,0.0010892
71,1629.97,0.85305,0.59014,0.88054,0.70162,0.59682,0.61063,0.34957,1.47705,1.42443,1.09045,0.001076,0.001076,0.001076
72,1652.83,0.84497,0.54381,0.88348,0.69001,0.53728,0.59208,0.3516,1.49813,1.8067,1.08231,0.0010628,0.0010628,0.0010628
73,1675.69,0.84439,0.56068,0.88496,0.76736,0.50663,0.5798,0.34292,1.49396,1.73969,1.08772,0.0010496,0.0010496,0.0010496
