epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,270.558,0.10491,0.10982,0.74278,0.55576,0.2605,0.35789,0.14494,2.26298,3.65825,1.44267,0.0011882,0.0011882,0.0011882
43,276.73,0.09991,0.10112,0.74358,0.58632,0.2493,0.36253,0.15001,2.26369,3.84306,1.43252,0.0011684,0.0011684,0.0011684
44,282.909,0.097,0.096,0.74387,0.53962,0.30532,0.35895,0.14684,2.30727,3.55172,1.46886,0.0011486,0.0011486,0.0011486
45,289.103,0.0925,0.08981,0.74335,0.60834,0.28011,0.37862,0.15468,2.30396,3.7073,1.47133,0.0011288,0.0011288,0.0011288
46,295.284,0.09163,0.08862,0.74343,0.55664,0.29972,0.36986,0.15151,2.30298,3.6252,1.4858,0.001109,0.001109,0.001109
47,301.485,0.09256,0.08836,0.74282,0.56402,0.29352,0.35903,0.1487,2.29021,3.65891,1.48658,0.0010892,0.0010892,0.0010892
48,307.695,0.09382,0.08889,0.74274,0.61711,0.28894,0.37772,0.15547,2.28286,3.69183,1.46781,0.0010694,0.0010694,0.0010694
49,313.836,0.08899,0.08326,0.74146,0.59779,0.30532,0.38322,0.15791,2.29703,3.65004,1.47462,0.0010496,0.0010496,0.0010496
50,320.033,0.09093,0.08483,0.74278,0.59042,0.29477,0.38944,0.15992,2.29341,3.72291,1.46886,0.0010298,0.0010298,0.0010298
51,326.364,0.08847,0.0816,0.74238,0.58029,0.28852,0.38446,0.15972,2.29416,3.72591,1.47071,0.00101,0.00101,0.00101
52,332.618,0.08906,0.08074,0.74365,0.57706,0.29972,0.38085,0.1583,2.30164,3.65218,1.48564,0.0009902,0.0009902,0.0009902
53,338.848,0.08776,0.07984,0.74206,0.59037,0.29875,0.38843,0.16036,2.2999,3.67319,1.48206,0.0009704,0.0009704,0.0009704
54,345.137,0.08857,0.08246,0.74108,0.5661,0.29972,0.38857,0.16023,2.30501,3.7035,1.48732,0.0009506,0.0009506,0.0009506
55,351.372,0.08918,0.08219,0.74277,0.54955,0.32807,0.38689,0.1575,2.31045,3.54538,1.50207,0.0009308,0.0009308,0.0009308
56,357.621,0.0891,0.08273,0.74238,0.55165,0.31018,0.38138,0.15764,2.30461,3.59888,1.49689,0.000911,0.000911,0.000911
57,363.846,0.08775,0.08029,0.74106,0.56186,0.29815,0.38972,0.16082,2.30573,3.67199,1.493,0.0008912,0.0008912,0.0008912
58,370.064,0.08772,0.07957,0.74264,0.58738,0.28291,0.39382,0.16194,2.30961,3.72145,1.49796,0.0008714,0.0008714,0.0008714
59,376.272,0.08718,0.07982,0.74292,0.58875,0.28852,0.39615,0.16389,2.30962,3.68418,1.50069,0.0008516,0.0008516,0.0008516
60,382.481,0.08872,0.0808,0.74275,0.56465,0.29132,0.39096,0.16269,2.31063,3.65811,1.50252,0.0008318,0.0008318,0.0008318
61,388.672,0.08755,0.07897,0.74284,0.38776,0.37255,0.39388,0.16441,2.30779,3.72838,1.50007,0.000812,0.000812,0.000812
62,394.882,0.0882,0.07773,0.74079,0.38938,0.36975,0.39209,0.16016,2.32242,3.76543,1.49842,0.0007922,0.0007922,0.0007922
63,401.103,0.08778,0.07825,0.74275,0.40557,0.36695,0.39565,0.16324,2.30616,3.79582,1.49253,0.0007724,0.0007724,0.0007724
64,407.326,0.08672,0.07729,0.74271,0.43512,0.36134,0.38667,0.15954,2.31165,3.74169,1.49959,0.0007526,0.0007526,0.0007526
65,413.505,0.08712,0.07742,0.74047,0.38824,0.36975,0.38675,0.15959,2.31758,3.76429,1.50804,0.0007328,0.0007328,0.0007328
66,419.759,0.08629,0.07755,0.74181,0.38643,0.36695,0.38896,0.15987,2.30884,3.76821,1.50239,0.000713,0.000713,0.000713
67,425.978,0.08672,0.07887,0.74327,0.58768,0.30742,0.38148,0.1568,2.31366,3.69191,1.51179,0.0006932,0.0006932,0.0006932
68,432.217,0.08633,0.07699,0.74235,0.56964,0.30812,0.38023,0.15673,2.31269,3.67593,1.51477,0.0006734,0.0006734,0.0006734
69,438.42,0.08524,0.0759,0.74135,0.56113,0.28571,0.37546,0.15539,2.31413,3.74385,1.51699,0.0006536,0.0006536,0.0006536
70,444.639,0.0863,0.07694,0.74086,0.3831,0.38095,0.38369,0.15825,2.30601,3.79687,1.50742,0.0006338,0.0006338,0.0006338
71,450.867,0.08626,0.07643,0.7403,0.54536,0.30812,0.37978,0.15719,2.3167,3.7123,1.52136,0.000614,0.000614,0.000614
72,457.097,0.08699,0.07663,0.74156,0.57586,0.29285,0.38348,0.15908,2.31006,3.77308,1.51176,0.0005942,0.0005942,0.0005942
73,463.337,0.08716,0.07657,0.7394,0.55737,0.29629,0.37939,0.15628,2.31545,3.77709,1.51813,0.0005744,0.0005744,0.0005744
74,469.616,0.08601,0.07555,0.74176,0.54352,0.30351,0.38179,0.15847,2.31156,3.78345,1.51626,0.0005546,0.0005546,0.0005546
75,475.845,0.08546,0.0756,0.74137,0.39296,0.37535,0.3855,0.15818,2.31287,3.79004,1.52222,0.0005348,0.0005348,0.0005348
76,482.054,0.08624,0.0764,0.74321,0.39244,0.37815,0.38689,0.15902,2.3138,3.78302,1.52285,0.000515,0.000515,0.000515
77,488.217,0.0848,0.07507,0.74294,0.55682,0.30266,0.38064,0.15899,2.3118,3.7383,1.52888,0.0004952,0.0004952,0.0004952
78,494.394,0.08498,0.07471,0.7418,0.38202,0.38095,0.38266,0.15943,2.31311,3.75453,1.52379,0.0004754,0.0004754,0.0004754
79,500.578,0.08573,0.07491,0.74221,0.48703,0.34174,0.37972,0.15946,2.31103,3.76463,1.52727,0.0004556,0.0004556,0.0004556
80,506.757,0.08491,0.07403,0.74157,0.37637,0.38375,0.37949,0.15957,2.31406,3.76793,1.52933,0.0004358,0.0004358,0.0004358
81,512.901,0.0848,0.0745,0.7423,0.38857,0.38095,0.38142,0.1596,2.31765,3.79602,1.52666,0.000416,0.000416,0.000416
82,519.052,0.08459,0.07387,0.74187,0.55455,0.29412,0.37928,0.15816,2.31752,3.78985,1.53163,0.0003962,0.0003962,0.0003962
83,525.225,0.08641,0.07534,0.74114,0.54457,0.29132,0.37668,0.15768,2.32255,3.764,1.53889,0.0003764,0.0003764,0.0003764
84,531.471,0.08573,0.07526,0.7418,0.52858,0.29692,0.37951,0.15929,2.32064,3.78692,1.53618,0.0003566,0.0003566,0.0003566
85,537.666,0.08549,0.07469,0.74078,0.38857,0.38095,0.38293,0.16074,2.3205,3.77587,1.53514,0.0003368,0.0003368,0.0003368
86,543.954,0.08534,0.0748,0.74171,0.38462,0.37815,0.37735,0.15826,2.32183,3.79565,1.5373,0.000317,0.000317,0.000317
87,550.042,0.08484,0.07436,0.74118,0.52694,0.31373,0.37575,0.15767,2.32421,3.81143,1.53752,0.0002972,0.0002972,0.0002972
88,556.254,0.08416,0.07445,0.7417,0.37989,0.38095,0.37769,0.15758,2.32218,3.80396,1.54062,0.0002774,0.0002774,0.0002774
89,562.49,0.08511,0.07425,0.74119,0.54553,0.29926,0.37889,0.1586,2.31924,3.77437,1.54292,0.0002576,0.0002576,0.0002576
90,568.722,0.08537,0.07426,0.74195,0.5354,0.29972,0.37465,0.15779,2.32336,3.79354,1.54427,0.0002378,0.0002378,0.0002378
91,578.906,0.08574,0.0749,0.74091,0.54203,0.29412,0.3729,0.15699,2.32046,3.81267,1.53918,0.000218,0.000218,0.000218
92,585.243,0.08582,0.0748,0.742,0.55098,0.29132,0.37544,0.15643,2.32201,3.8106,1.54516,0.0001982,0.0001982,0.0001982
93,591.323,0.08565,0.07515,0.74183,0.53988,0.31092,0.37695,0.1572,2.31917,3.81998,1.54293,0.0001784,0.0001784,0.0001784
94,597.534,0.08508,0.07492,0.74147,0.4822,0.33389,0.3751,0.15615,2.32356,3.83218,1.54394,0.0001586,0.0001586,0.0001586
95,603.848,0.08463,0.07463,0.74115,0.5527,0.29132,0.36684,0.15181,2.32931,3.7715,1.55317,0.0001388,0.0001388,0.0001388
96,610.048,0.08508,0.07394,0.74052,0.53854,0.29748,0.37188,0.15528,2.32485,3.78333,1.55089,0.000119,0.000119,0.000119
97,616.253,0.0844,0.07428,0.74086,0.5327,0.30252,0.37556,0.15719,2.32477,3.78218,1.55134,9.92e-05,9.92e-05,9.92e-05
98,622.433,0.08381,0.07356,0.74195,0.54013,0.30252,0.37644,0.15602,2.32588,3.77931,1.55174,7.94e-05,7.94e-05,7.94e-05
99,628.725,0.08475,0.07453,0.74252,0.5562,0.30191,0.37573,0.15618,2.32684,3.77649,1.5531,5.96e-05,5.96e-05,5.96e-05
100,634.969,0.08463,0.07397,0.74089,0.54585,0.30252,0.3758,0.15648,2.32771,3.79114,1.55342,3.98e-05,3.98e-05,3.98e-05
