epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7542,2.7332,3.90132,1.5938,0.00095,0.08028,0.00056,9e-05,3.37829,4.15025,2.06475,0.0005,0.0005,0.0005
2,30.1854,2.21874,2.70889,1.31483,0.00406,0.34357,0.01807,0.00317,2.85152,3.61581,1.83975,0.0010099,0.0010099,0.0010099
3,43.0071,2.11999,2.56437,1.30437,0.25983,0.03188,0.03433,0.01307,2.42013,3.41066,1.40613,0.00150951,0.00150951,0.00150951
4,55.4497,2.04133,2.37177,1.25789,0.20521,0.09209,0.05724,0.01446,2.35163,3.1096,1.4267,0.0019406,0.0019406,0.0019406
5,68.0549,1.97368,2.2819,1.22819,0.01016,0.27273,0.00596,0.0015,3.08642,20.575,1.80453,0.0019208,0.0019208,0.0019208
6,80.2949,2.02873,2.13545,1.22941,0.08106,0.04603,0.01592,0.00324,4.51979,4.70462,2.67379,0.001901,0.001901,0.001901
7,92.7773,2.00409,2.12352,1.23505,0.21074,0.21724,0.12257,0.0187,3.51206,3.91698,1.99026,0.0018812,0.0018812,0.0018812
8,105.217,1.9611,2.06296,1.18491,0.21539,0.16238,0.08527,0.0129,3.88385,4.59768,2.19181,0.0018614,0.0018614,0.0018614
9,117.696,1.92926,2.02299,1.21647,0.24959,0.23849,0.16452,0.03098,3.07525,3.58565,1.64687,0.0018416,0.0018416,0.0018416
10,129.938,2.00637,2.03206,1.21924,0.36433,0.24675,0.21886,0.07764,2.19964,2.9091,1.29105,0.0018218,0.0018218,0.0018218
11,142.164,1.95454,2.00895,1.19446,0.41192,0.34002,0.29088,0.12843,1.85748,2.13951,1.18123,0.001802,0.001802,0.001802
12,154.52,1.91139,1.93634,1.20571,0.31074,0.27509,0.20051,0.05175,2.87919,2.43903,1.559,0.0017822,0.0017822,0.0017822
13,166.753,1.96376,1.96069,1.21048,0.37416,0.30815,0.2606,0.06247,2.51037,2.31151,1.38104,0.0017624,0.0017624,0.0017624
14,179.133,1.92732,1.9795,1.21112,0.40959,0.33648,0.28002,0.0954,2.41344,2.38178,1.38815,0.0017426,0.0017426,0.0017426
15,191.714,1.9141,1.91076,1.19915,0.21964,0.15884,0.09583,0.01235,3.66532,4.77202,1.9172,0.0017228,0.0017228,0.0017228
16,204.069,1.80349,1.86711,1.12468,0.29314,0.29634,0.21653,0.10065,1.95995,2.35316,1.17548,0.001703,0.001703,0.001703
17,216.597,1.8416,1.85201,1.15937,0.43158,0.37072,0.32934,0.11909,2.11974,2.18927,1.22674,0.0016832,0.0016832,0.0016832
18,228.65,1.80692,1.78314,1.14952,0.41887,0.3046,0.28192,0.06984,2.50405,2.26852,1.51618,0.0016634,0.0016634,0.0016634
19,241.056,1.79748,1.74903,1.14386,0.39445,0.33294,0.3041,0.13941,1.74614,2.26094,1.1097,0.0016436,0.0016436,0.0016436
20,253.3,1.8098,1.87256,1.141,0.39278,0.36718,0.32962,0.12112,2.25836,2.40917,1.28324,0.0016238,0.0016238,0.0016238
21,265.393,1.79276,1.79187,1.16568,0.40028,0.33963,0.29986,0.12074,2.0625,2.21276,1.21047,0.001604,0.001604,0.001604
22,277.649,1.76131,1.81817,1.12143,0.44871,0.37862,0.34366,0.11786,2.38558,2.01957,1.3108,0.0015842,0.0015842,0.0015842
23,289.825,1.81583,1.81363,1.15066,0.29499,0.28948,0.22353,0.05354,2.55442,2.50237,1.36359,0.0015644,0.0015644,0.0015644
24,302.374,1.91454,1.80167,1.19636,0.42349,0.33216,0.30146,0.07625,2.70346,2.7367,1.41732,0.0015446,0.0015446,0.0015446
25,314.739,1.83583,1.72496,1.17812,0.43989,0.43684,0.39777,0.18232,1.8583,2.09047,1.15333,0.0015248,0.0015248,0.0015248
26,326.943,1.78126,1.74983,1.15712,0.43338,0.34002,0.31221,0.12677,2.02253,2.21416,1.18123,0.001505,0.001505,0.001505
27,339.488,1.77749,1.74544,1.14641,0.44728,0.37308,0.34873,0.1121,2.50719,2.84224,1.33596,0.0014852,0.0014852,0.0014852
28,351.864,1.78333,1.73813,1.13378,0.45771,0.4085,0.40016,0.1867,1.8318,3.27465,1.13651,0.0014654,0.0014654,0.0014654
29,364.058,1.74976,1.70443,1.12047,0.46404,0.38843,0.37685,0.19241,1.66819,2.05343,1.09869,0.0014456,0.0014456,0.0014456
30,376.445,1.74308,1.66396,1.11954,0.43086,0.38961,0.35015,0.1697,1.75803,1.93043,1.1033,0.0014258,0.0014258,0.0014258
