epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1103.46,1.13663,0.98751,0.96355,0.65879,0.61829,0.61386,0.35125,1.44596,1.67326,1.05587,0.0014324,0.0014324,0.0014324
45,1128.29,1.13405,0.91942,0.96001,0.72068,0.56823,0.62572,0.36419,1.42003,1.47852,1.04906,0.0014192,0.0014192,0.0014192
46,1153.56,1.0931,0.90023,0.9514,0.6774,0.57976,0.60658,0.34438,1.40192,1.4441,1.04485,0.001406,0.001406,0.001406
47,1178.37,1.06881,1.80095,0.92012,0.66647,0.56378,0.58024,0.33851,1.36821,1.46737,1.03138,0.0013928,0.0013928,0.0013928
48,1203.29,1.11854,0.9205,0.95551,0.67268,0.60595,0.64366,0.38091,1.36776,1.41064,1.03238,0.0013796,0.0013796,0.0013796
49,1228.39,1.07437,0.85753,0.95142,0.73372,0.60686,0.64914,0.38266,1.34026,1.35543,1.02648,0.0013664,0.0013664,0.0013664
50,1253.41,1.06068,0.8467,0.94011,0.63091,0.63694,0.62662,0.37269,1.36076,1.42432,1.0299,0.0013532,0.0013532,0.0013532
51,1278.2,1.0715,0.79351,0.94575,0.74733,0.59859,0.66103,0.39233,1.34484,1.32554,1.03009,0.00134,0.00134,0.00134
52,1303.2,1.03532,0.77435,0.93662,0.72023,0.59762,0.64352,0.39841,1.31262,1.5284,1.0137,0.0013268,0.0013268,0.0013268
53,1328.22,1.01925,0.7795,0.92558,0.71698,0.51548,0.57194,0.33673,1.38107,1.55903,1.04582,0.0013136,0.0013136,0.0013136
54,1353.12,1.00799,0.75582,0.92562,0.69709,0.63214,0.67097,0.41037,1.29281,1.30759,1.01861,0.0013004,0.0013004,0.0013004
55,1378.08,1.00222,0.75077,0.92439,0.74311,0.67857,0.70477,0.44231,1.28707,1.26796,1.01746,0.0012872,0.0012872,0.0012872
56,1403.06,1.0048,0.70635,0.92857,0.7206,0.62857,0.66065,0.40268,1.36265,1.40824,1.03711,0.001274,0.001274,0.001274
57,1427.91,0.97394,0.71567,0.91389,0.70713,0.64048,0.67286,0.41323,1.30492,1.29891,1.02701,0.0012608,0.0012608,0.0012608
58,1452.86,0.98346,0.71697,0.92053,0.64766,0.65648,0.63073,0.37676,1.32573,1.33882,1.02744,0.0012476,0.0012476,0.0012476
59,1477.74,0.94703,0.67874,0.90627,0.74783,0.62143,0.67628,0.41169,1.31174,1.4333,1.02147,0.0012344,0.0012344,0.0012344
60,1502.59,0.94728,0.71792,0.91515,0.76839,0.65833,0.69828,0.43838,1.24267,1.26635,1.00771,0.0012212,0.0012212,0.0012212
61,1527.56,0.9356,0.68079,0.90098,0.71526,0.63397,0.66301,0.41684,1.25783,1.4103,1.00594,0.001208,0.001208,0.001208
62,1552.37,0.91838,0.69079,0.90302,0.74202,0.625,0.66918,0.42592,1.25149,1.41165,1.00468,0.0011948,0.0011948,0.0011948
63,1577.21,0.93194,0.67609,0.89902,0.73785,0.67685,0.70635,0.44575,1.29978,1.25667,1.02815,0.0011816,0.0011816,0.0011816
64,1602.27,0.91497,0.65011,0.90071,0.74557,0.60238,0.65807,0.41068,1.30258,1.34207,1.02631,0.0011684,0.0011684,0.0011684
65,1627,0.93111,0.65154,0.90837,0.78109,0.66905,0.71779,0.45308,1.22545,1.15776,1.00758,0.0011552,0.0011552,0.0011552
66,1652,0.86952,0.60631,0.88738,0.79387,0.64648,0.70696,0.44464,1.21588,1.25628,1.00723,0.001142,0.001142,0.001142
67,1676.89,0.88521,0.61291,0.89366,0.77691,0.61771,0.67096,0.41914,1.24605,1.25882,1.00625,0.0011288,0.0011288,0.0011288
68,1701.7,0.87928,0.6199,0.89136,0.81318,0.70476,0.73295,0.47962,1.1823,1.16826,0.98905,0.0011156,0.0011156,0.0011156
69,1726.73,0.90008,0.62692,0.89229,0.7545,0.70833,0.71634,0.45698,1.23098,1.15497,1.00038,0.0011024,0.0011024,0.0011024
70,1751.68,0.93451,0.59526,0.91527,0.82314,0.70368,0.74941,0.48444,1.21424,1.11443,1.00175,0.0010892,0.0010892,0.0010892
71,1776.63,0.8537,0.59562,0.89004,0.81032,0.70184,0.76273,0.50264,1.16756,1.1394,0.99555,0.001076,0.001076,0.001076
72,1801.82,0.85982,0.55916,0.88598,0.8088,0.62947,0.70512,0.45461,1.20029,1.19374,1.00384,0.0010628,0.0010628,0.0010628
73,1826.64,0.83461,0.57601,0.88465,0.79552,0.69048,0.74329,0.49139,1.16184,1.11002,0.99376,0.0010496,0.0010496,0.0010496
74,1851.42,0.83003,0.5474,0.88373,0.82296,0.67976,0.7361,0.47202,1.21433,1.13141,1.01047,0.0010364,0.0010364,0.0010364
75,1876.17,0.84188,0.53471,0.88081,0.80158,0.69881,0.74274,0.47155,1.24175,1.19856,1.0121,0.0010232,0.0010232,0.0010232
76,1900.97,0.83074,0.53779,0.8825,0.78861,0.62857,0.68448,0.43452,1.25331,1.32463,1.01696,0.00101,0.00101,0.00101
77,1925.72,0.79194,0.49826,0.86678,0.84939,0.69823,0.77069,0.50967,1.17294,1.09494,0.99153,0.0009968,0.0009968,0.0009968
